year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
1998,YUG,FLK,ALL,22000,0.000080%
1998,YUG,PER,ALL,213753.66,0.00078%
1998,YUG,SUR,ALL,25000,0.000091%
1998,YUG,URY,ALL,25518,0.000093%
1998,YUG,VEN,ALL,883787.56,0.0032%
1999,YUG,AGO,ALL,4000,0.000015%
1999,YUG,BEN,ALL,3244719.04,0.012%
1999,YUG,BFA,ALL,13003.6,0.000047%
1999,YUG,CIV,ALL,1097483.61,0.0040%
1999,YUG,CMR,ALL,11478.73,0.000042%
1999,YUG,COG,ALL,1000,0.0000036%
1999,YUG,CPV,ALL,3424.44,0.000012%
1999,YUG,DZA,ALL,19070621.02,0.069%
1999,YUG,EGY,ALL,12985468.19,0.047%
1999,YUG,ETH,ALL,689707.45,0.0025%
1999,YUG,GAB,ALL,8787,0.000032%
1999,YUG,GHA,ALL,7546497.22,0.027%
1999,YUG,GIN,ALL,150320.09,0.00055%
1999,YUG,KEN,ALL,7866,0.000029%
1999,YUG,LBR,ALL,1036000,0.0038%
1999,YUG,LBY,ALL,754000,0.0027%
1999,YUG,MAR,ALL,443000,0.0016%
1999,YUG,MLI,ALL,66009.35,0.00024%
1999,YUG,MUS,ALL,160547.49,0.00058%
1999,YUG,NER,ALL,7780706.68,0.028%
1999,YUG,NGA,ALL,5333137.02,0.019%
1999,YUG,RWA,ALL,3692.26,0.000013%
1999,YUG,SDN,ALL,100377.53,0.00037%
1999,YUG,SEN,ALL,238894.81,0.00087%
1999,YUG,SLE,ALL,98000,0.00036%
1999,YUG,SOM,ALL,12000,0.000044%
1999,YUG,STP,ALL,7000,0.000025%
1999,YUG,SYC,ALL,97553.98,0.00036%
1999,YUG,TGO,ALL,2715046.72,0.0099%
1999,YUG,TUN,ALL,4709052.88,0.017%
1999,YUG,TZA,ALL,3624.06,0.000013%
1999,YUG,UGA,ALL,1000,0.0000036%
1999,YUG,ZAF,ALL,4033764.59,0.015%
1999,YUG,ZMB,ALL,5624.84,0.000020%
1999,YUG,ARE,ALL,2648000,0.0096%
1999,YUG,ARM,ALL,81946.88,0.00030%
1999,YUG,AZE,ALL,93657.92,0.00034%
1999,YUG,BHR,ALL,2000,0.0000073%
1999,YUG,CHN,ALL,10891269.83,0.040%
1999,YUG,CYP,ALL,20496775.39,0.075%
1999,YUG,GEO,ALL,209740.81,0.00076%
1999,YUG,HKG,ALL,192222.96,0.00070%
1999,YUG,IDN,ALL,1163098.93,0.0042%
1999,YUG,IND,ALL,3184443.89,0.012%
1999,YUG,IRN,ALL,12313562.11,0.045%
1999,YUG,IRQ,ALL,270000,0.00098%
1999,YUG,ISR,ALL,4670208.92,0.017%
1999,YUG,JOR,ALL,811743.68,0.0030%
1999,YUG,JPN,ALL,2704604.46,0.0098%
1999,YUG,KAZ,ALL,251000,0.00091%
1999,YUG,KOR,ALL,454785.06,0.0017%
1999,YUG,LBN,ALL,1119156.61,0.0041%
1999,YUG,LKA,ALL,136000,0.00050%
1999,YUG,MAC,ALL,22000,0.000080%
